id,name,group,created_at,updated_at,alt_names,company_count
52,Aviation & Aerospace,"gov, man",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Aviation & Aerospace"",""Aviation and Aerospace Component Manufacturing""}",56194
54,Chemicals,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Chemicals,""Chemical Manufacturing""}",132126
56,Mining & Metals,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Mining & Metals"",Mining}",236839
57,Oil & Energy,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Oil & Energy"",""Oil and Gas""}",203941
58,Shipbuilding,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Shipbuilding},18427
1,Defense & Space,"gov, tech",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Defense & Space"",""Defense and Space Manufacturing""}",40706
4,Computer Software,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Computer Software"",""Software Development""}",929237
5,Computer Networking,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Computer Networking"",""Computer Networking Products""}",37645
7,Semiconductors,tech,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Semiconductors,""Semiconductor Manufacturing""}",30212
9,Law Practice,leg,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Law Practice""}",225780
59,Utilities,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Utilities},136607
60,Textiles,man,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Textiles,""Textile Manufacturing""}",158455
64,Ranching,agr,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,{Ranching},57614
65,Dairy,agr,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Dairy,""Dairy Product Manufacturing""}",30521
66,Fishery,agr,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Fishery,Fisheries}",17970
67,Primary/Secondary Education,edu,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Primary/Secondary Education"",Primary/Secondary,""Primary and Secondary Education""}",143546
68,Higher Education,edu,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Higher Education""}",212694
69,Education Management,edu,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Education Management"",""Education Administration Programs""}",421910
70,Research,"edu, gov",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Research,""Research Services""}",293819
71,Military,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{Military,""Armed Forces""}",21890
73,Judiciary,"gov, leg",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Judiciary,""Administration of Justice""}",15454
74,International Affairs,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""International Affairs""}",24206
75,Government Administration,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Government Administration""}",148616
76,Executive Office,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Executive Office"",""Executive Offices""}",70970
77,Law Enforcement,"gov, leg",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Law Enforcement""}",27219
78,Public Safety,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Public Safety""}",34613
79,Public Policy,gov,2017-09-16T04:46:27.148347,2017-09-16T04:46:27.148347,"{""Public Policy"",""Public Policy Offices""}",22106
80,Marketing and Advertising,"corp, med",2017-09-16T04:46:27.148347,2022-04-22T06:02:00.169624,"{""Marketing & Advertising"",""Marketing and Advertising"",""Marketing Services"",""Advertising Services""}",1115747
81,Newspapers,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Newspapers,""Newspaper Publishing""}",34478
82,Publishing,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Publishing,""Book and Periodical Publishing""}",218515
83,Printing,"med, rec",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{Printing,""Printing Services""}",143422
84,Information Services,"med, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Information Services""}",102360
85,Libraries,"med, rec, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,{Libraries},16192
89,Religious Institutions,"org, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Religious Institutions""}",138628
90,Civic & Social Organization,"org, serv",2017-09-16T04:46:27.148347,2017-09-17T02:28:04.174543,"{""Civic & Social Organization"",""Civic and Social Organizations""}",386201
